"page";"text";"x0";"x1";"top";"bottom";"page_width";"font_name";"font_size";"line_center";"page_center";"center_score";"left_ratio";"width_ratio";"is_all_caps";"sistematika";"unsur"
"1";"7";"305,71";"306,24375999999995";"65,36159999999995";"66,32159999999999";"612,0";"Arial-BoldMT";"0,9600000000000364";"305,97687999999994";"306,0";"3,777777777788014e-05";"0,49952614379084964";"0,000872156862745053";"False";"BODY_TEXT";""
"1";"BUPATI MALANG";"253,13";"358,849988552";"128,93600000000004";"140,93600000000004";"612,0";"BCDFEE+BookmanOldStyle-Bold";"12,0";"305,989994276";"306,0";"1,6349222222214956e-05";"0,4136111111111111";"0,17274507933333336";"True";"JUDUL";""
"1";"PROVINSI JAWA TIMUR";"231,53";"380,438";"154,976";"166,976";"612,0";"BCDFEE+BookmanOldStyle-Bold";"12,0";"305,984";"306,0";"2,6143790849705155e-05";"0,3783169934640523";"0,24331372549019606";"True";"JUDUL";""
"1";"PERATURAN DAERAH KABUPATEN MALANG";"166,94";"445,15000000000003";"181,01600000000008";"193,01600000000008";"612,0";"BCDFEE+BookmanOldStyle-Bold";"12,0";"306,045";"306,0";"7,352941176473188e-05";"0,2727777777777778";"0,45459150326797393";"True";"JUDUL";""
"1";"NOMOR 1 TAHUN 2025";"233,45";"378,67";"207,05600000000004";"219,05600000000004";"612,0";"BCDFEE+BookmanOldStyle-Bold";"12,0";"306,06";"306,0";"9,803921568627822e-05";"0,38145424836601305";"0,23728758169934644";"True";"JUDUL";""
"1";"TENTANG";"275,45";"336,65";"233,216";"245,216";"612,0";"BCDFEE+BookmanOldStyle-Bold";"12,0";"306,04999999999995";"306,0";"8,169934640515446e-05";"0,4500816993464052";"0,09999999999999998";"True";"JUDUL";""
"1";"PERUSAHAAN PERSEROAN DAERAH BANK PEREKONOMIAN RAKYAT";"88,104";"523,8240000000001";"259,3760000000001";"271,3760000000001";"612,0";"BCDFEE+BookmanOldStyle-Bold";"12,0";"305,96400000000006";"306,0";"5,8823529411674055e-05";"0,1439607843137255";"0,7119607843137257";"True";"JUDUL";""
"1";"ARTHA KANJURUHAN PEMERINTAH KABUPATEN MALANG";"121,22";"490,846";"284,336";"296,336";"612,0";"BCDFEE+BookmanOldStyle-Bold";"12,0";"306,033";"306,0";"5,392156862747624e-05";"0,1980718954248366";"0,6039640522875817";"True";"JUDUL";""
"1";"BUPATI MALANG,";"251,09";"360,889987598";"336,446";"348,446";"612,0";"BCDFEE+BookmanOldStyle-Bold";"12,0";"305,989993799";"306,0";"1,6350001634003514e-05";"0,4102777777777778";"0,17941174444117647";"True";"JUDUL";""
"1";"Menimbang : a. bahwa dalam rangka meningkatkan pertumbuhan ekonomi,";"70,944";"541,138";"386,63";"398,63";"612,0";"BCDGEE+BookmanOldStyle";"12,0";"306,041";"306,0";"6,699346405228239e-05";"0,11592156862745098";"0,7682908496732026";"False";"JUDUL";""
